"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
NACC81,NACC Inc 1920,14.8,5.1,-23.4,26,36,70
NACC82,NACC Inc 1920,30.6,-28.3,11.1,8,83,54
NACC83,NACC Inc 1920,38,-5.6,-16.5,65,93,116
NACC84,NACC Inc 1920,16.4,1.5,-18.9,28,41,68
NACC85,NACC Inc 1920,27.7,-11.2,-1.7,44,71,68
NACC86,NACC Inc 1920,41.6,6.9,8.5,113,94,84
NACC87,NACC Inc 1920,18.2,7.5,6,57,40,36
NACC88,NACC Inc 1920,42.5,-9.4,11,90,105,82
NACC89,NACC Inc 1920,45.3,15.3,33.8,142,97,50
NACC90,NACC Inc 1920,59.31,10.5,21.1,169,135,106
NACC91,NACC Inc 1920,37,10.3,16.3,109,81,61
NACC92,NACC Inc 1920,25.7,27.6,-11.5,94,43,79
NACC93,NACC Inc 1920,53.4,7.8,17.1,148,122,98
NACC94,NACC Inc 1920,53.9,20.5,33.4,173,114,72
NACC95,NACC Inc 1920,25.5,12.4,14.4,83,53,39
NACC96,NACC Inc 1920,48.1,15.5,12.5,144,104,94
NACC97,NACC Inc 1920,22.2,4.7,5,62,51,46
NACC98,NACC Inc 1920,21.8,0.1,1.1,53,52,51
NACC99,NACC Inc 1920,35.7,-22.8,-0.7,32,94,84
NACC100,NACC Inc 1920,33.9,-0.1,-17.3,67,81,107
NACC101,NACC Inc 1920,36.2,12.1,-0.3,104,78,86
NACC102,NACC Inc 1920,18.2,14.6,-12.9,58,37,63
NACC103,NACC Inc 1920,27.7,-1.1,4,66,66,59
NACC104,NACC Inc 1920,38,-2.9,6.8,88,91,78
NACC105,NACC Inc 1920,50.5,4.9,-13.9,120,118,144
NACC106,NACC Inc 1920,53.8,1.8,-1.6,131,128,131
NACC107,NACC Inc 1920,71.7,-0.3,39.4,193,175,102
NACC108,NACC Inc 1920,65.9,16.8,6,192,149,150
NACC109,NACC Inc 1920,50.6,2.6,-9.6,119,119,137
NACC110,NACC Inc 1920,45.3,3.9,2.7,115,105,103
NACC111,NACC Inc 1920,70.2,-2.1,47.4,188,171,82
NACC112,NACC Inc 1920,45.7,12.2,-7.5,124,101,121
NACC113,NACC Inc 1920,61.6,3.9,32.3,170,145,91
NACC114,NACC Inc 1920,65.7,10.9,29.1,191,152,108
NACC115,NACC Inc 1920,37.5,24,-10.5,119,73,106
NACC116,NACC Inc 1920,64.4,-5.8,14.4,154,159,130
NACC117,NACC Inc 1920,61.1,-1.2,1.2,146,148,145
NACC118,NACC Inc 1920,25.4,35,-15.9,100,34,85
NACC119,NACC Inc 1920,39.6,32.1,25.8,146,70,53
NACC120,NACC Inc 1920,33.7,34.7,20.7,132,53,49
NACC121,NACC Inc 1920,43.2,-12.5,1.7,80,108,99
NACC122,NACC Inc 1920,35.8,52.4,21.6,159,31,54
NACC123,NACC Inc 1920,27.9,35.1,17.7,116,38,41
NACC124,NACC Inc 1920,36.3,9.5,14.1,106,79,63
NACC125,NACC Inc 1920,29.3,1.3,-27.9,45,70,112
NACC126,NACC Inc 1920,56.5,27,31.3,189,116,82
NACC127,NACC Inc 1920,37.1,-3.2,-21.4,63,90,122
NACC128,NACC Inc 1920,55,-15.4,7.3,107,139,118
NACC129,NACC Inc 1920,56,22.2,25.3,179,119,91
NACC130,NACC Inc 1920,51,-13.3,25.4,110,127,77
NACC131,NACC Inc 1920,65.2,3.3,19.7,174,156,123
NACC132,NACC Inc 1920,60.9,25.5,43.6,202,128,70
NACC133,NACC Inc 1920,43.2,44.1,41.5,174,65,35
NACC134,NACC Inc 1920,45.5,-30.1,16,53,121,79
NACC135,NACC Inc 1920,19.5,5.5,-30.2,27,46,92
NACC136,NACC Inc 1920,36.4,48.2,27.2,157,41,45
NACC137,NACC Inc 1920,50.6,-20.5,-8.5,67,131,134
NACC138,NACC Inc 1920,32.1,0.4,-22,58,76,110
NACC139,NACC Inc 1920,35,39.7,20.5,142,50,52
